fsq_category_id,cluster_id
Religious School,25
Circus,9
Circus School,9
City,94
Town,94
City Hall,95
Town Hall,95
Club House,104
Night Club,104
Coffee Shop,175
Corporate Coffee Shop,175
College Academic Building,193
College Administrative Building,193
College Arts Building,193
College Communications Building,193
College Engineering Building,193
College History Building,193
College Residence Hall,193
College Science Building,193
College Technology Building,193
College Cricket Pitch,66
Cricket Ground,66
College Football Field,141
Football,141
Football Field,141
College Gym,98
Gym,98
Gym Pool,98
Gym and Studio,98
Outdoor Gym,98
College Hockey Rink,89
Hockey,89
Hockey Club,89
Hockey Field,89
Hockey Rink,89
Hockey Stadium,89
College Lab,195
Laboratory,195
Research Laboratory,195
Research Station,195
College Rec Center,191
Community College,191
Student Center,191
College Soccer Field,145
Soccer,145
Soccer Field,145
College Stadium,146
Football Stadium,146
Rugby Stadium,146
Soccer Stadium,146
Stadium,146
College Track,61
Go Kart Track,61
Race Track,61
Racecourse,61
Running and Track,61
Track,61
College and University,192
General College & University,192
University,192
Commercial Real Estate Developer,155
Property Management Office,155
Real Estate Agency,155
Real Estate Appraiser,155
Real Estate Development and Title Company,155
Real Estate Service,155
Community and Government,73
Government Department,73
State,73
States and Municipalities,73
Computer Repair Service,84
Repair Service,84
Computers and Electronics Retail,80
Electronics Store,80
Hardware Store,80
Conference,72
Conference Room,72
Meeting Room,72
Construction,57
Engineer,57
General Contractor,57
Sewer Contractor,57
Convention,71
Convention Center,71
Corporate Housing Agency,154
Housing Authority,154
Housing Development,154
Corsican Restaurant,222
Sardinian Restaurant,222
Cosmetics Store,178
Perfume Store,178
Costume Store,201
Fashion Accessories Store,201
Fashion Retail,201
Lingerie Store,201
Country Club,55
Country Dance Club,55
Courthouse,85
Squash Court,85
Credit Counseling and Bankruptcy Service,23
Loans Agency,23
Czech Restaurant,219
Hungarian Restaurant,219
Slovak Restaurant,219
Dam,74
Reservoir,74
Dentist,153
Oral Surgeon,153
Design Studio,135
Interior Designer,135
Diner,121
Dining and Drinking,121
Disc Golf,50
Disc Golf Course,50
Dive Bar,114
Dive Spot,114
Dive Store,114
Doctor's Office,171
Family Medicine Doctor,171
General Surgeon,171
Internal Medicine Doctor,171
Orthopedic Surgeon,171
Physician,171
Doors and Windows Contractor,43
Garage Door Supplier,43
Drugstore,96
Pharmacy,96
Dry Cleaner,13
Professional Cleaning Service,13
Electrical Equipment Supplier,67
Electrician,67
Industrial Equipment Supplier,67
Metals Supplier,67
Scientific Equipment Supplier,67
Elementary School,116
High School,116
Middle School,116
Preschool,116
Primary and Secondary School,116
Private School,116
Empada House,214
Fraternity House,214
Pelmeni House,214
Sorority House,214
Entertainment Agency,131
Entertainment Service,131
General Entertainment,131
Entertainment Event,132
Event,132
Event Service,132
Festival,132
Other Event,132
Equipment Rental Service,34
Rental Car Location,34
Rental Service,34
Vacation Rental,34
Event Space,133
Outdoor Event Space,133
Eyecare Store,75
Lighting Store,75
Sunglasses Store,75
Factory,103
Machine Shop,103
Manufacturer,103
Fair,24
Street Fair,24
Trade Fair,24
Trade School,24
Fast Food Restaurant,168
Hotpot Restaurant,168
Financial or Legal Service,183
Law Office,183
Law School,183
Legal Service,183
Fish Market,160
Fish Taverna,160
Fishing Area,161
Fishing Store,161
Food Distribution Center,110
Food Stand,110
Food and Beverage Retail,110
Food and Beverage Service,110
Health Food Store,110
Street Food Gathering,110
Forest,124
Tree,124
Tree Service,124
Fountain,21
Waterfall,21
French Restaurant,210
Southwestern French Restaurant,210
Fried Chicken Joint,22
Peruvian Roast Chicken Joint,22
Frozen Yogurt Shop,33
Waffle Shop,33
Furniture and Home Store,87
Home Appliance Store,87
Housewares Store,87
Gaming Cafe,27
VR Cafe,27
General Travel,108
Travel Agency,108
Travel and Transportation,108
Golf,49
Golf Club,49
Golf Course,49
Golf Store,49
Mini Golf Course,49
Greek Restaurant,189
Modern Greek Restaurant,189
Roman Restaurant,189
Grilled Meat Restaurant,129
Steakhouse,129
Grocery Store,194
Supermarket,194
Gun Range,35
Gun Store,35
Gymnastics,99
Gymnastics Center,99
Hill,7
Mountain,7
Mountain Hut,7
Himalayan Restaurant,203
Tibetan Restaurant,203
Home Health Care Service,59
Home Improvement Service,59
Home Service,59
Hospital,180
Hospital Unit,180
Hostel,147
Hotel,147
Inn,147
Motel,147
Hotel Pool,148
Pool Hall,148
Hunting Area,134
Hunting Supply Store,134
Hyderabadi Restaurant,225
Rajasthani Restaurant,225
Import and Export Service,105
"Shipping, Freight, and Material Transportation Service",105
Indian Restaurant,226
South Indian Restaurant,226
Indie Movie Theater,170
Indie Theater,170
Irani Cafe,187
Pakistani Restaurant,187
Persian Restaurant,187
Irish Pub,164
Pub,164
Scottish Restaurant,164
Israeli Restaurant,172
Jewish Restaurant,172
Italian Restaurant,220
Sicilian Restaurant,220
Japanese Family Restaurant,229
Japanese Restaurant,229
Karaoke Bar,29
Karaoke Box,29
Kitchen Supply Store,173
Packaging Supply Store,173
Kosher Restaurant,188
Kosher Store,188
Lake,51
River,51
Landmarks and Outdoors,119
Other Great Outdoors,119
Latin American Restaurant,217
Mexican Restaurant,217
Spanish Restaurant,217
Laundromat,11
Laundry Service,11
Law Enforcement and Public Safety,109
Security and Safety,109
Leather Goods Store,158
Leather Supplier,158
Lebanese Restaurant,174
Yemeni Restaurant,174
Market,176
Marketplace,176
Meat and Seafood Store,127
Seafood Restaurant,127
Media Agency,107
Newsagent,107
Newsstand,107
Mental Health Clinic,126
Mental Health Service,126
Military,1
Military Base,1
Mobile Company,68
Mobile Phone Store,68
Motor Scooter Dealership,120
Motorcycle Dealership,120
Motorcycle Repair Shop,120
Movie Theater,169
Theater,169
Music Festival,91
Music Store,91
Music Venue,91
National Park,77
Natural Park,77
Park,77
Playground,77
RV Park,77
Recreation Center,77
State or Provincial Park,77
Trailer Park,77
Urban Park,77
Water Park,77
Non-Profit Organization,88
Organization,88
North Indian Restaurant,227
Northeast Indian Restaurant,227
Observatory,12
Planetarium,12
Office,177
Office Building,177
Ophthalmologist,166
Optometrist,166
Outdoor Sculpture,64
Sculpture Garden,64
Outlet Mall,184
Shopping Mall,184
Shopping Plaza,184
Pedestrian Plaza,157
Plaza,157
Pet Café,92
