fsq_category_id,cluster_id
0042340cf99f8ad903f22351,547
04e2f9ac7b7a4dd630508fc9,547
07cf82899a35464b7e10b7ba,547
0b4a2ef8fd0244c6b907521b,547
0bbcd9242fcc040f1a0fcb20,547
0c05ee7ce2e044b04108f32d,547
0d7fa44306ac44827ee6bf7f,547
0e3bf3145b05bf43b94cdfc6,547
1005f102e586cae7def3346e,547
10344d6408d3ac841e79eb86,547
11765d869e1544bda68703a8,547
120088b4d19d4b3b6f85c3c6,547
1235793c4499e34c78f2e9a0,547
124342ec84674a3effd0d2fd,547
12dbccd5b281efa4a2688ab7,547
1746a89fc5541b1f7f6bb57f,547
1cc4347f1ee247494235fe3c,547
1e4dd4835544bdaa561219b4,547
1f79ac1eee20738276e6a42d,547
21008c6b0816419a9192c8f9,547
214f68a548c7218f83ba4ded,547
227ea4637afe42b620c69947,547
2812cc5bbd753ed70b7c3bef,547
29770a97142f7cc952d2e88c,547
2c0fca97cedb42cd5d5aa568,547
2c36a4603e3a4108c4fe98a9,547
32675b82b6c04bed190f8073,547
35d24b9cf5d14f78a7905a69,547
35ec501864f0bb00c8081d0f,547
3a0186b5a58f4d5145256bdd,547
3a9f6e9f55c638e77633b384,547
3ad014d868fb49cf83f62da4,547
3b0606dbf6b2e8e3e9694e2e,547
3c5778875d494ef4a36fb96b,547
3f60b0fdd02b40213ea490e8,547
3f9d63f58f660b1dc408ab8f,547
48ebf1e920214dac56aa7657,547
4bf58dd8d48988d100941735,72
4bf58dd8d48988d100951735,92
4bf58dd8d48988d101941735,521
4bf58dd8d48988d101951735,199
4bf58dd8d48988d102941735,735
4bf58dd8d48988d102951735,201
4bf58dd8d48988d103951735,202
4bf58dd8d48988d103951736,547
4bf58dd8d48988d103951737,547
4bf58dd8d48988d103951738,547
4bf58dd8d48988d103951739,547
4bf58dd8d48988d103951740,547
4bf58dd8d48988d103951741,547
4bf58dd8d48988d103951742,547
4bf58dd8d48988d103951743,547
4bf58dd8d48988d103951744,547
4bf58dd8d48988d103951745,547
4bf58dd8d48988d103951747,547
4bf58dd8d48988d103951748,547
4bf58dd8d48988d103951749,547
4bf58dd8d48988d103951750,547
4bf58dd8d48988d103951751,547
4bf58dd8d48988d103951752,547
4bf58dd8d48988d103951753,547
4bf58dd8d48988d103951754,547
4bf58dd8d48988d103951755,547
4bf58dd8d48988d103951756,547
4bf58dd8d48988d103951758,547
4bf58dd8d48988d103951759,547
4bf58dd8d48988d103951760,547
4bf58dd8d48988d103951761,547
4bf58dd8d48988d103951762,547
4bf58dd8d48988d103951764,547
